No.,Company Name,Category/Sector/Domain,Primary Location,Strategic Context,Estimated Email Format
56,MindPeers,Healthtech,Delhi,Mental health platform for individuals and firms,{first}@mindpeers.co
57,Oben Electric,Mobility,Bengaluru,High-performance electric motorcycle manufacturer,{first}@obenelectric.com
58,Convin,AI Conversational,Bengaluru,Conversation intelligence for sales teams,{first}@convin.ai
59,Swish,Quick Commerce,Bengaluru,10-minute hot meal delivery platform,{first}@swish.in
60,Weekday,AI Recruitment,Bengaluru,Proactive hiring tool using a talent database,{first}@weekday.works
61,Bhanzu,Edtech,Bengaluru,Math-learning platform focused on speed and agility,{first}@bhanzu.com
62,Refyne India,Fintech,Bengaluru,Financial wellness and earned wage access platform,{first}.{last}@refyne.in
63,EMotorad,Mobility,Pune,Premium electric bike manufacturer,{first}@emotorad.com
64,Atlys,Traveltech,Delhi,Streamlining visa and travel documentation,{first}@atlys.com
65,Snabbit,Home Services,Mumbai,Hyperlocal on-demand home services,{first}@snabbit.com
66,FirstClub,Quick Commerce,Bengaluru,Omnichannel grocery and beauty delivery,{first}@firstclub.com
67,Innoviti,Fintech,Bengaluru,Payment solutions for retail and enterprise,{first}.{last}@innoviti.com
68,Rupeek,Fintech,Bengaluru,Online gold loans at the doorstep,{first}.{last}@rupeek.com
69,Cuemath,Edtech,Bengaluru,Math-learning platform for K-12,{first}.{last}@cuemath.com
70,Fashinza,B2B Marketplace,Gurugram,Manufacturing marketplace for fashion brands,{first}.{last}@fashinza.com
71,Loop Health,Healthtech,Pune,Health insurance and clinical care provider,{first}@loophealth.com
72,Perfios,Fintech,Bengaluru,Real-time financial analytics and decisioning,{first}.{last}@perfios.com
73,Livspace,E-commerce,Bengaluru,Home interior and renovation platform,{first}.{last}@livspace.com
74,INCREFF,B2B SaaS,Bengaluru,Inventory and supply chain optimization for retail,{first}.{last}@increff.com
75,BlueStone,E-commerce,Bengaluru,Online jewelry retailer,{first}.{last}@bluestone.com
76,Pristyn Care,Healthtech,Gurugram,Elective surgery and healthcare management,{first}.{last}@pristyncare.com
77,Rentomojo,SaaS / Rental,Mumbai,Rental platform for furniture and electronics,{first}.{last}@rentomojo.com
78,MyGlamm,E-commerce,Mumbai,D2C beauty brand and content platform,{first}.{last}@myglamm.com
79,Scripbox,Fintech,Bengaluru,Jargon-free investment platform,{first}.{last}@scripbox.com
80,Lokal,Media Tech,Bengaluru,Hyperlocal news and classifieds app,{first}@getlokalapp.com
81,CoinSwitch,Fintech,Bengaluru,Leading cryptocurrency exchange platform,{first}.{last}@coinswitch.co
82,Niramai,Health AI,Bengaluru,Non-invasive breast cancer screening using AI,{first}@niramai.com
83,GreyOrange,Robotics,Gurugram,AI-driven robotics for warehouse automation,{first}.{last}@greyorange.com
84,Log 9 Materials,Deep Tech,Bengaluru,Advanced materials and graphene battery tech,{first}@log9materials.com
85,Agnikul Cosmos,SpaceTech,Chennai,3D-printed rocket engines and launch vehicles,{first}@agnikul.in
86,QNu Labs,Cybersecurity,Bengaluru,Quantum-safe cryptography and communication,{first}@qnulabs.com
87,SigTuple,Health AI,Bengaluru,Automated pathology and medical diagnostics,{first}@sigtuple.com
88,Locus.sh,Logistics SaaS,Bengaluru,Dispatch management and route optimization,{first}@locus.sh
89,CropIn,Agtech,Bengaluru,Data-driven smart farming solutions,{first}@cropin.com
90,Zenatix,IoT,Gurugram,Energy management and IoT for commercial bldgs,{first}@zenatix.com
91,Sarvam AI,AI Infrastructure,Bengaluru,Developing large-scale AI models for India,{first}@sarvam.ai
92,Murf AI,Media AI,Bengaluru,AI-powered voice generation and text-to-speech,{first}@murf.ai
93,Vahan AI,AI Recruitment,Bengaluru,Blue-collar recruitment platform powered by AI,{first}@vahan.co
94,DhiWise,DevTool SaaS,Surat,Automated app development platform for devs,{first}@dhiwise.com
95,Pixis,Marketing AI,Bengaluru,Codeless AI platform for marketing optimization,{first}@pixis.ai
96,Qure AI,Medical AI,Mumbai,AI for medical imaging and radiology,{first}@qure.ai
97,Jiffy AI,Enterprise AI,Bengaluru,Autonomous enterprise automation platform,{first}@jiffy.ai
98,Video Verse,Media AI,Mumbai,AI-driven video editing and content creation,{first}@vverse.ai
99,Neuron7 AI,Service AI,Bengaluru,AI-driven service intelligence for enterprises,{first}@neuron7.ai
100,InVideo,Media AI,Mumbai,High-speed video creation platform,{first}@invideo.io
101,Kissflow,No-code / BPM,,Leading low-code platform for business workflows,{first}@kissflow.com
102,Eka Software,Fintech SaaS,,Cloud-based commodity management and finance,{first}.{last}@ekaplus.com
103,Wingman,Sales Tech,,Conversation intelligence for sales teams (Acq by Clari),{first}@trywingman.com
104,Almabase,Education SaaS,,Alumni management platform for schools and unis,{first}@almabase.com
105,Oloid AI,Cybersecurity,,AI-based physical and digital access management,{first}@oloid.ai
106,PipeCandy,E-comm Intel,,Strategic intelligence for the e-commerce economy,{first}@pipecandy.com
107,Veris,Workplace SaaS,,Modern visitor and workplace management platform,{first}@getveris.com
108,ExtraEdge,Edtech CRM,,Admissions and marketing automation for colleges,{first}@extraedge.com
109,Intentwise,Adtech SaaS,,Optimization platform for Amazon and e-comm ads,{first}@intentwise.com
110,Typito AI,Media AI,,Online video editor for professional content creators,{first}@typito.com
111,Rocketlane,Project Mgmt,,Professional services automation and onboarding,{first}@rocketlane.com
112,Spyne,Media Tech,,AI-driven visual content for e-commerce,{first}@spyne.ai
113,Appknox,Cybersecurity,,Mobile application security testing for enterprises,{first}@appknox.com
114,DemandFarm,Sales Tech,,Key account management software for B2B,{first}@demandfarm.com
115,Ozonetel,Cloud Telephony,,Full-stack contact center as a service (CCaaS),{first}@ozonetel.com
116,Nukebox,Gaming SaaS,,Mobile game development and publishing tools,{first}@nukeboxstudios.com
117,Wizikey,PR Tech,,Data-driven PR and media intelligence platform,{first}@wizikey.com
118,Recurpost,Social SaaS,,Social media scheduling and automation tool,{first}@recurpost.com
119,Desku,Support SaaS,,Customer support and helpdesk for SMBs,{first}@desku.io
120,Unicommerce,E-comm Ops,,Warehouse and inventory management (Acq by Snapdeal),{first}.{last}@unicommerce.com
121,KNOW,Workforce SaaS,,Operations platform for frontline workforces,{first}@getknow.io
122,Zapscale,Customer Success,,AI-driven customer success platform,{first}@zapscale.com
123,DevRev,Dev CRM,,Connecting developers with customer feedback,{first}@devrev.ai
124,Cutshort,HRTech,,AI-powered recruitment and sourcing platform,{first}@cutshort.io
125,Zoconut,Health SaaS,,Business management for dieticians and clinics,{first}@zoconut.com
126,Two Minute Reports,Data SaaS,,Self-service reporting and analytics tool,{first}@gox.ai
127,Gyde,Product SaaS,,Digital adoption and walkthroughs for software,{first}@gyde.ai
128,Factors.ai,Marketing SaaS,,Marketing attribution and analytics platform,{first}@factors.ai
129,Goodmeetings,Sales Tech,,AI-driven video engagement for sales meetings,{first}@goodmeetings.ai
130,Discover Dollar,Retail SaaS,,Identifying overpayments for retail giants,{first}@discoverdollar.com
131,Xoxoday,HRTech SaaS,,"Rewards, incentives, and loyalty management",{first}.{last}@xoxoday.com
132,Skuad,HR / Payroll,,Global payroll and remote hiring platform,{first}@skuad.io
133,Floik,Media SaaS,,Visual product documentation and demo platform,{first}@floik.com
134,Saleshandy,Sales Tech,,Cold email outreach and tracking platform,{first}@saleshandy.com
135,Threado AI,Comm. SaaS,,AI-driven support for community-led growth,{first}@threado.com
136,Klenty,Sales Tech,,Sales engagement and automation platform,{first}@klenty.com
137,Stackby,Productivity,,Spreadsheet-database hybrid for flexible workflows,{first}@stackby.com
138,Astra Security,Cybersecurity,,Comprehensive web and mobile app security,{first}@getastra.com
139,Gallabox,E-comm SaaS,,Conversational commerce platform for WhatsApp,{first}@gallabox.com
140,BiteSpeed,E-comm SaaS,,Marketing platform for D2C brands on WhatsApp,{first}@bitespeed.co
141,Docupilot,Productivity,,Automated document generation for businesses,{first}@docupilot.app
142,Crunch,Fintech SaaS,,Financial reporting and analytics platform,{first}@crunch.ai
143,Mergeo.ai,Media AI,,AI-driven video localization and marketing,{first}@mergeo.ai
144,Dyrect,E-comm SaaS,,Post-purchase engagement and warranty platform,{first}@dyrect.com
145,GimBooks,Fintech SaaS,,Invoicing and bookkeeping for Indian SMBs,{first}@gimbooks.com
146,Bryckel AI,PropTech SaaS,,AI-driven real estate marketing and sales,{first}@bryckel.ai
147,TicketRoot,Event SaaS,,Cloud-based ticketing and event management,{first}@ticketroot.com
148,enParadigm,L&D SaaS,,Simulation-based learning for corporate training,{first}@enparadigm.com
149,DesignWiz,Design SaaS,,Product design and collaboration platform,{first}@designwiz.com
150,Loglens,Data SaaS,,High-concurrency log monitoring and analysis,{first}@loglens.io
151,Deployment.io,DevOps SaaS,,Infrastructure automation for cloud deployments,{first}@deployment.io
152,SalesAgents AI,Sales AI,,AI agents for lead generation and outreach,{first}@salesagents.ai
153,Sowl,Social SaaS,,Community and networking platform for devs,{first}@sowl.io
154,Emossy,HRTech SaaS,,Employee engagement and performance platform,{first}@emossy.com
155,SocialPilot,Social SaaS,,Professional social media marketing tool,{first}@socialpilot.co
156,Responsive,RFP SaaS,,Automating RFP and RFQ response workflows,{first}.{last}@responsive.io
157,Vire Insights,Analytics SaaS,,Data-driven consumer insights for brands,{first}@vireinsights.ai
158,Tune AI,Media Tech,,Audio-first personalization for media brands,{first}@tune.ai
159,Dailybee,Logistics SaaS,,Route management for daily delivery services,{first}@dailybee.ai
160,Billiontags,Supply Chain,,Transparent supply chain tracking for retail,{first}@billiontags.com
161,GoSelfServe,Retail SaaS,,Automated retail checkout and inventory,{first}@goselfserve.com
162,Superworks,HRTech SaaS,,"Integrated HR, payroll, and recruitment",{first}@superworks.com
163,Kwanzoo,ABM SaaS,,Account-based marketing for enterprise B2B,{first}@kwanzoo.com
164,Economize,Cloud SaaS,,Optimizing and reducing cloud infrastructure costs,{first}@economize.cloud
165,dropthought,Survey SaaS,,Real-time customer experience and feedback,{first}@dropthought.com
166,TruckHall,Logistics SaaS,,Full-stack platform for trucking and freight,{first}@truckhall.com
167,Docket AI,Knowledge SaaS,,AI-powered knowledge base for support teams,{first}@docket.ai
168,Omnify,Scheduling SaaS,,Booking and scheduling for service businesses,{first}@getomnify.com
169,Equip,HRTech SaaS,,Skills-based assessment for tech hiring,{first}@equip.co
170,GTM Buddy,Sales Tech,,Contextual sales enablement for B2B teams,{first}@gtmbuddy.ai
171,IntelliOak,Enterprise Tech,,Data and digital transformation consultancy,{first}@intellioak.com
172,OneIntegral,IT Ops SaaS,,Managing IT infrastructure for distributed teams,{first}@oneintegral.com
173,DigiUsher,Digital SaaS,,Automating digital transformation workflows,{first}@digiusher.com
174,Xobin,HRTech SaaS,,Platform for pre-employment skill tests,{first}@xobin.com
175,OneMetrik,Data SaaS,,Business performance and metrics tracking,{first}@onemetrik.com
176,Proptor,PropTech SaaS,,Real estate property management and sales,{first}@proptor.ai
177,clAppIt,Media SaaS,,Cloud-based video and audio editing studio,{first}@clappit.com
178,Aspiro,Fintech SaaS,,Personal finance and savings for employees,{first}@aspiro.io
179,Selfbest,Productivity,,AI-driven time management for individuals,{first}@selfbest.com
180,GenSpark,AI Media,,AI-powered content generation for social,{first}@genspark.ai
181,Dreamcast,Event Tech,,Virtual and hybrid event hosting platform,{first}@dreamcast.in
182,Exprs,Logistics SaaS,,Last-mile and neighborhood logistics hubs,{first}@exprs.in
183,FreJun,Sales Tech,,Automated calling and CRM logging for sales,{first}@frejun.com
184,Fitbots,OKR SaaS,,Goal setting and OKR tracking for businesses,{first}@fitbots.com
185,Qapita,Fintech SaaS,,Equity management and cap table tracking,{first}@qapita.com
186,Magic Studio,Media AI,,AI tools for high-quality photo editing,{first}@magicstudio.com
187,Steam-A,Edtech SaaS,,Personalized learning for STEM education,{first}@steam-a.com
188,100 Circles,Community SaaS,,Professional networking for niche communities,{first}@100circles.com
189,10xers Labs,SaaS Studio,,Venture studio for building B2B SaaS,{first}@10xers.com
190,Appbrew,Mobile SaaS,,High-speed mobile app building platform,{first}@appbrew.io
191,Appsmith,Open Source,,Framework for building internal business tools,{first}@appsmith.com
192,Aptly,PropTech SaaS,,CRM and workflow for property management,{first}@aptly.io
193,Aramya,Fashion Tech,,Tech-enabled supply chain for women's ethnic wear,{first}@aramya.com
194,Avenir,Procurement SaaS,,AI-driven procure-to-pay and contract mgmt,{first}@aavenir.com
195,BestDoc,Healthtech SaaS,,Patient relationship and experience management,{first}@bestdocapp.com
196,Binocs,Fintech SaaS,,Crypto tax compliance and reporting,{first}@binocs.co
197,100ms,Video Infra,,Live video infrastructure for developers,{first}@100ms.live
198,1Balance,Health Brand,,Subscription-based herbal health supplements,{first}@1balance.com
199,AgroStar,Agtech,,E-commerce and advisory platform for farmers,{first}.{last}@agrostar.in
200,Akto,Cybersecurity,,Plug-and-play API security platform,{first}@akto.io
201,Sarvam AI,AI Infrastructure,,Developing foundational LLMs for Indian languages,{first}@sarvam.ai
202,Krutrim,AI Cloud,,Building sovereign AI infrastructure for India,{first}@olakrutrim.com
203,Neysa,AI Infrastructure,,AI infrastructure and platform services,{first}@neysa.ai
204,Myelin Foundry,Edge AI,,AI platforms for the media and industrial sectors,{first}@myelinfoundry.com
205,Qbeast,Data Infrastructure,,Optimizing query engines for Lakehouse platforms,{first}@qbeast.io
206,Nirmata,DevOps / Infra,,Policy-as-code for Kubernetes security,{first}@nirmata.com
207,Pre6,Manufacturing AI,,Bringing modern AI to the manufacturing shopfloor,{first}@pre6.ai
208,Palo,Content AI,,AI-driven workflows for short-form content,{first}@palo.ai
209,OnFinance AI,Fintech AI,,Compliance automation for the BFSI sector,{first}@onfinance.ai
210,JustAI,Marketing AI,,Hyper-personalizing marketing with AI agents,{first}@justai.com
211,Cybrilla,Wealth Infra,,Decentralized wealth management infrastructure,{first}@cybrilla.com
212,AIR Trading,Trading AI,,AI-powered global trading and data systems,{first}@airtrading.ai
213,Finster AI,Financial AI,,AI-native platform for finance professionals,{first}@finster.ai
214,Round1 AI,Recruitment AI,,AI-powered candidate screening and interviewing,{first}@round1.ai
215,SixSense,Industrial AI,,AI-driven vision and quality control for mfg,{first}@sixsense.ai
216,Tonbo.io,Database Infra,,Serverless database solutions for developers,{first}@tonbo.io
217,Supanote AI,Health AI,,Automating session notes for health clinics,{first}@supanote.ai
218,Ten X You,Media AI,,Personal AI avatars for creators and celebs,{first}@tenxyou.com
219,Pixis,Marketing AI,,AI for optimizing global digital ad spend,{first}@pixis.ai
220,Qure AI,Medical AI,,AI for automating medical scans and imaging,{first}@qure.ai
221,Jiffy AI,Enterprise AI,,Robotic process automation for enterprises,{first}@jiffy.ai
222,Video Verse,Media AI,,Intelligent video highlight generation,{first}@vverse.ai
223,Neuron7 AI,Service AI,,Resolving complex customer issues using AI,{first}@neuron7.ai
224,InVideo,Media AI,,AI-powered professional video creation,{first}@invideo.io
225,MathCo,Data AI,,Advanced analytics and AI consulting,{first}@themathcompany.com
226,Leena AI,HR AI,,AI-powered employee experience platform,{first}@leena.ai
227,Atomicwork,IT / HR AI,,Service management for modern enterprises,{first}@atomicwork.com
228,Nanonets,Automation AI,,Capturing and structuring data from documents,{first}@nanonets.com
229,Avaamo,Conversational AI,,Multi-modal conversational AI for biz,{first}@avaamo.ai
230,Fireflies,Media AI,,AI assistant for recording and transcribing,{first}@fireflies.ai
231,Prismforce,Talent AI,,Resource management for IT services firms,{first}@prismforce.com
232,NextBillionAI,Spatial AI,,Mapping and spatial data infrastructure,{first}@nextbillion.ai
233,Actyv AI,Fintech AI,,B2B buy-now-pay-later (BNPL) using AI,{first}@actyv.ai
234,Nektar AI,CRM AI,,Automated CRM data capture and insights,{first}@nektar.ai
235,Arya.ai,BFSI AI,,Deep learning for financial services,{first}@arya.ai
236,Bobble AI,Media Tech,,AI-powered keyboard and conversational media,{first}@bobble.ai
237,Yellow.ai,Support AI,,Generative AI for customer support automation,{first}@yellow.ai
238,Attentive.ai,Field AI,,AI for landscaping and field service management,{first}@attentive.ai
239,Udemy,Edtech,,Global learning marketplace with large India R&D,{first}.{last}@udemy.com
240,Niramai,Health AI,,Early breast cancer detection through thermal AI,{first}@niramai.com
241,Agnikul Cosmos,SpaceTech,,Building modular rocket launch vehicles,{first}@agnikul.in
242,Skyroot Aerospace,SpaceTech,,Private satellite launch services,{first}@skyroot.in
243,QNu Labs,Cybersecurity,,Leading Indian quantum cryptography firm,{first}@qnulabs.com
244,SigTuple,Medical AI,,Automated blood and urine analysis,{first}@sigtuple.com
245,Log 9 Materials,Cleantech,,Aluminum-fuel cell and battery tech,{first}@log9materials.com
246,GreyOrange,Robotics,,Global warehouse robotics and automation,{first}.{last}@greyorange.com
247,Locus.sh,Logistics AI,,Decision-making for logistics and delivery,{first}@locus.sh
248,CropIn,Agtech,,Cloud-based data platform for farmers,{first}@cropin.com
249,Zenatix,IoT,,Energy monitoring for commercial retail,{first}@zenatix.com
250,Euler Motors,Mobility,,Electric three-wheelers for cargo delivery,{first}@eulermotors.com
251,Ultraviolette,Mobility,,High-performance electric motorcycles,{first}@ultraviolette.com
252,SpaceFields,SpaceTech,,Building rocket engines for micro-satellites,{first}@spacefields.com
253,Chakr Innovation,Cleantech,,Emission control and carbon capture tech,{first}@chakr.in
254,Serentica,Cleantech,,Decarbonization for energy-heavy industries,{first}.{last}@serentica.com
255,Tessolve,Semiconductors,,Leading semiconductor engineering services,{first}.{last}@tessolve.com
256,Indkal,Consumer Tech,,Smart home hardware and appliances,{first}@indkal.com
257,Vyome,Biotech,,Developing novel medicines for skin health,{first}@vyome.in
258,Rubicon,Biotech,,Specialty pharmaceutical development,{first}.{last}@rubicon.com
259,Adaptive,Cybersecurity,,Identity management for an AI-native world,{first}@adaptive.io
260,InspeCity,SpaceTech,,Building a fleet of orbital service vehicles,{first}@inspecity.com
261,Plotch.ai,E-comm Infra,,Enabling enterprises on the ONDC network,{first}@plotch.ai
262,Navana Tech,Voice AI,,Multilingual voice stack for Indian consumers,{first}@navana.ai
263,Figr,Design AI,,Autopilot for UI/UX design research,{first}@figr.design
264,Infer.so,Voice AI,,AI voice bots for insurance and lending,{first}@infer.so
265,Pascal,Fintech AI,,AI agents for investment managers,{first}@pascal.ai
266,Storefox.ai,Retail AI,,Monitoring offline retail through audio AI,{first}@storefox.ai
267,Autodraft,Media AI,,AI-powered animation for storytellers,{first}@autodraft.ai
268,NimbleBox,MLOps,,Unified platform for building and scaling ML,{first}@nimblebox.ai
269,Ripik.AI,Industrial AI,,AI for supply chain and manufacturing,{first}@ripik.ai
270,ASETS,Energy Infra,,Cloud-based EPC and plant design,{first}@asets.io
271,Spintly,IoT,,Cloud-based wireless access control systems,{first}@spintly.com
272,Skoob,Media Tech,,Social reading and book discovery platform,{first}@skoob.io
273,Psyke,Media AI,,AI-driven content and social engagement,{first}@psyke.ai
274,Youshd,E-comm Tech,,Influencer marketing for D2C brands,{first}@youshd.com
275,Redacto,Cybersecurity,,Redacting sensitive PII for data compliance,{first}@redacto.ai
276,Inamo,Consumer AI,,High-frequency AI-driven consumer apps,{first}@inamo.ai
277,Cautio,Media AI,,Visual telematics and dashboard analytics,{first}@cautio.ai
278,ApniBus,Mobility Tech,,Intercity bus booking and tracking,{first}@apnibus.com
279,Bold Finance,Fintech,,Tech-enabled gold loan marketplace,{first}@boldfinance.in
280,codedamn,Edtech,,Interactive platform to learn to code,{first}@codedamn.com
281,Gladful,D2C Brand,,Protein-rich snacks for children,{first}@gladful.in
282,Navana Tech,AI Research,,Breaking literacy barriers with voice AI,{first}@navana.ai
283,InspeCity,Aerospace,,Space robotics for satellite servicing,{first}@inspecity.com
284,Cautio,AI Safety,,Real-time visual monitoring for road safety,{first}@cautio.ai
285,Zingle,Data AI,,Making databases generative AI-ready,{first}@zingle.ai
286,Revvolution AI,RevOps AI,,AI agents for revenue and data hygiene,{first}@revvolution.ai
287,Posha,Leap Tech,,Paradigm-shifting tech for human exp.,{first}@posha.ai
288,Sarla Aviation,Mobility,,Urban air mobility and electric aircraft,{first}@sarla.aero
289,Accelequant,Quantum Tech,,High-speed quantum financial modelling,{first}@accelequant.com
290,Wiom,Telecom Tech,,Distributed internet for the Indian masses,{first}@wiom.in
291,Haber,Industrial AI,,AI for reducing water and chemical waste,{first}@haberi.com
292,Aignosis,Health AI,,AI-driven early autism detection,{first}@aignosis.ai
293,APM Medichem,Pharma Tech,,Tech-enabled pharma manufacturing partner,{first}@apmmedichem.com
294,Segwise,Data AI,,Data monitoring co-pilot for growth teams,{first}@segwise.ai
295,Plotch.ai,E-comm Tech,,Enterprise-grade ONDC infrastructure,{first}@plotch.ai
296,Alt Fashion,Media Tech,,Meta-search engine for fashion brands,{first}@altfashion.in
297,Kubo Care,Healthtech,,Eldercare platform with assisted living,{first}@kubocare.com
298,Hexo.ai,Data AI,,Advanced data science for consumer insights,{first}@hexo.ai
299,Atlan,Data SaaS,,Active metadata platform for data teams,{first}@atlan.com
300,1Password,Cybersecurity,,Password manager with significant India hub,{first}.{last}@1password.com
301,RDash,Real Estate Tech,,,{first}@rdash.io
302,Swipe,Fintech,,,{first}@getswipe.in
303,IMT Care,Healthtech,,,{first}@imtcare.com
304,Hiration,CareerTech,,,{first}@hiration.com
305,ODWEN,Logistics,,,{first}@odwen.com
306,SuperKalam,Edtech,,,{first}@superkalam.com
307,Infinity,Fintech,,,{first}@infinity.io
308,CheqUPI,Fintech,,,{first}@chequpi.com
309,Fieldproxy,Workforce Mgmt,,,{first}@fieldproxy.com
310,DocVita,Healthtech,,,{first}@docvita.com
311,Mantys,Fintech,,,{first}@mantys.io
312,Better Opinions,Prediction Market,,,{first}@betteropinions.in
313,Rehook.ai,Marketing SaaS,,,{first}@rehook.ai
314,Clueso,Knowledge SaaS,,,{first}@clueso.io
315,MySivi,Healthtech,,,{first}@mysivi.com
316,DrDroid,Observability,,,{first}@drdroid.io
317,Mindbase,Enterprise SaaS,,,{first}@mindbase.io
318,SalaryBook,HRTech,,,{first}@salarybook.com
